iter	Passed	Remaining
0	172	30292
1	202	17759
2	221	12834
3	239	10339
4	255	8799
5	272	7755
6	288	7004
7	304	6436
8	321	6001
9	337	5631
10	353	5330
11	369	5074
12	384	4851
13	401	4671
14	418	4524
15	434	4371
16	449	4232
17	461	4074
18	477	3967
19	486	3822
20	500	3720
21	516	3635
22	531	3559
23	547	3491
24	570	3470
25	584	3397
26	599	3331
27	614	3272
28	626	3198
29	641	3145
30	657	3097
31	668	3030
32	682	2979
33	696	2929
34	724	2939
35	745	2918
36	762	2885
37	779	2851
38	794	2810
39	810	2775
40	825	2738
41	841	2703
42	856	2668
43	871	2634
44	887	2602
45	898	2558
46	913	2527
47	929	2497
48	945	2470
49	959	2437
50	972	2403
51	988	2375
52	1003	2348
53	1019	2322
54	1034	2295
55	1050	2269
56	1065	2243
57	1081	2218
58	1086	2172
59	1097	2139
60	1108	2107
61	1123	2083
62	1137	2058
63	1151	2032
64	1167	2010
65	1182	1989
66	1199	1968
67	1210	1941
68	1226	1919
69	1237	1891
70	1242	1854
71	1257	1833
72	1262	1798
73	1277	1777
74	1292	1757
75	1307	1738
76	1323	1718
77	1339	1699
78	1354	1679
79	1369	1660
80	1384	1640
81	1393	1614
82	1400	1585
83	1413	1564
84	1427	1544
85	1442	1526
86	1458	1508
87	1487	1504
88	1512	1495
89	1528	1477
90	1543	1458
91	1558	1439
92	1573	1421
93	1587	1402
94	1601	1382
95	1615	1363
96	1628	1343
97	1644	1325
98	1658	1306
99	1674	1289
100	1689	1271
101	1704	1252
102	1719	1235
103	1733	1216
104	1748	1198
105	1763	1181
106	1777	1162
107	1790	1144
108	1805	1126
109	1820	1108
110	1835	1091
111	1850	1073
112	1864	1056
113	1895	1047
114	1911	1030
115	1925	1012
116	1939	994
117	1954	977
118	1970	960
119	1985	943
120	2001	926
121	2016	909
122	2032	892
123	2047	875
124	2062	858
125	2078	841
126	2109	830
127	2127	814
128	2142	797
129	2158	780
130	2173	763
131	2189	746
132	2204	729
133	2219	712
134	2233	694
135	2247	677
136	2263	660
137	2279	644
138	2294	627
139	2309	610
140	2324	593
141	2341	577
142	2357	560
143	2372	543
144	2388	527
145	2404	510
146	2419	493
147	2440	478
148	2455	461
149	2470	444
150	2486	428
151	2502	411
152	2518	394
153	2533	378
154	2548	361
155	2563	345
156	2578	328
157	2592	311
158	2606	295
159	2621	278
160	2637	262
161	2652	245
162	2668	229
163	2683	212
164	2698	196
165	2713	179
166	2729	163
167	2743	146
168	2759	130
169	2775	114
170	2794	98
171	2810	81
172	2826	65
173	2841	48
174	2855	32
175	2871	16
176	2885	0
